index,address,city,state,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,longitude
0,Adelphi Road,washington,dc,20782.0,Public,6,False,True,False,False,False,False,38.9743509,-76.952112
1,Brandywood Circle,orlando,fl,32792.0,Homeowners Community,1,False,False,False,False,True,False,28.5909561,-81.285224
2,Greenlee Drive,austin-san marcos,tx,78628.0,Public,8,False,True,False,False,True,False,30.615173,-97.7007937
3,McKee Street,minneapolis-st. paul,mn,55121.0,Public,1,False,False,False,False,False,False,44.8520963,-93.1421
4,Avenue North,minneapolis-st. paul,mn,55374.0,Public,6,False,False,False,False,False,False,45.207841,-93.544174
5,Talway Circle,west palm beach - boca raton,fl,33472.0,Homeowners Community,2,False,False,False,False,False,False,26.5534934,-80.2005816
6,North Avenue,new york,ny,6880.0,Public,6,False,False,False,False,False,False,41.154117,-73.330671
7,North California Avenue,chicago,il,60618.0,Public,4,False,True,False,False,True,False,41.9501589,-87.697404
8,East Drive,denver,co,80011.0,Homeowners Community,2,False,False,False,False,True,False,39.7179324,-104.8220158
9,North Street,milwaukee,wi,53213.0,Public,6,False,False,False,False,False,False,43.0352388,-87.99405
10,Glenleigh Drive Southwest,atlanta,ga,30126.0,Homeowners Community,2,False,False,False,False,True,False,33.8419403,-84.5557165
11,Saddlewood Drive,detroit,mi,48313.0,Public,2,False,False,False,False,False,False,42.5900257,-82.9785883
12,Gladeview Parkway,atlanta,ga,30083.0,Homeowners Community,2,False,False,False,False,True,False,33.8254799,-84.1795313
13,Haggerty Road,detroit,mi,48375.0,Homeowners Community,1,False,False,False,False,False,False,42.4628452,-83.4361517
14,Vine Street,boston,ma,1945.0,Public,3,False,False,False,False,False,False,42.4990055,-70.8613336
15,Chestnut Street,boston,ma,2351.0,Homeowners Community,2,False,False,False,False,False,False,42.1234212,-71.0007548
16,Eastern Avenue,baltimore,md,21220.0,Public,1,False,False,False,False,False,False,39.3430184,-76.3923383
17,Houston Street,memphis,tn,38111.0,Public,16,False,False,False,False,True,False,35.1138005,-89.9391782
18,Marten Road,new york,ny,8540.0,Homeowners Community,1,False,False,False,False,False,False,40.3922866,-74.6454155
19,Knox Boulevard,albany,ny,12065.0,Homeowners Community,3,False,False,False,False,False,False,42.8435389,-73.7307501
20,Pollock Road,albany,ny,12110.0,Homeowners Community,1,False,False,False,False,False,False,42.7713214,-73.7757254
21,Valley Brook Drive South,dayton-springfield,oh,45322.0,Homeowners Community,3,False,False,False,False,True,False,39.8424013,-84.3084919
22,Wateredge Drive,oklahoma city,ok,73108.0,Homeowners Community,2,False,False,False,False,False,False,35.4435314,-97.5941491
23,Hartford Park Walking Trail,st. louis,mo,62048.0,Public,2,False,True,False,False,True,False,38.8266198,-90.0914311
24,Frank Schlessinger Way,san francisco - oakland - san jose,ca,94704.0,Public,6,False,False,False,False,True,False,37.8699667,-122.2650218
25,James Avenue,san francisco - oakland - san jose,ca,94062.0,Public,4,False,False,False,False,False,False,37.4834403,-122.2371697
26,East Shaw Avenue,fresno,ca,93710.0,Homeowners Community,2,False,False,False,False,True,False,36.8112775,-119.7664797
27,Old Seagoville Road,dallas - fort worth,tx,75217.0,Public,2,False,False,False,False,False,False,32.709345,-96.6518462
28,Mossy Stone Drive,houston - galveston - brazoria,tx,77546.0,Homeowners Community,2,False,False,False,False,True,False,29.491011,-95.2020264
29,Clearbrook Circle East,west palm beach - boca raton,fl,33445.0,Homeowners Community,1,False,False,False,False,True,False,26.4520645,-80.1019835
30,Sundown View Court,tampa-st. petersburg-clearwater,fl,33626.0,Homeowners Community,1,False,False,False,False,True,False,28.0582338,-82.6248372
31,Willow Lane,washington,dc,22042.0,Public,2,False,True,False,False,False,False,38.872759,-77.208537
32,Avents Ridge Drive,houston - galveston - brazoria,tx,77406.0,Homeowners Community,2,False,False,False,False,True,False,29.6892737,-95.8291483
33,Barclay Street,san antonio,tx,78207.0,Public,2,False,False,False,False,False,False,29.4157689,-98.5420632
34,Winds Drive,san antonio,tx,78623.0,Public,6,False,False,False,False,False,False,29.9423009,-98.2166576
35,Renaissance Court,austin-san marcos,tx,78728.0,Homeowners Community,1,False,False,False,False,False,False,30.4364178,-97.6861382
36,Lewis Avenue,new york,ny,6451.0,Public,4,False,False,False,False,False,False,41.5445531,-72.806042
37,East Southern Street,denver,co,80601.0,Public,4,False,True,False,False,True,False,39.9788959,-104.81404
38,Schoolhouse Road,new york,ny,8831.0,Public,6,False,False,False,False,False,False,40.3258861,-74.435452
39,Fairview Avenue,new york,ny,8854.0,Public,4,False,False,False,False,False,False,40.5735195,-74.449152
40,Wagner Road,chicago,il,60093.0,Public,6,False,True,False,False,True,False,42.1031081,-87.778736
41,Mansfield Drive,new york,ny,7874.0,Public,2,False,False,False,False,False,False,40.9366318,-74.706323
42,Chase Avenue,new york,ny,10703.0,Public,4,False,False,False,False,False,False,40.9581064,-73.883925
43,Town Court South,new york,ny,8648.0,Homeowners Community,1,False,False,False,False,True,False,40.2864253,-74.6801126
44,Bay Colony Drive,chicago,il,60016.0,Homeowners Community,1,False,False,False,False,True,False,42.0502487,-87.8669679
45,Southwind Drive,richmond-petersburg,va,23832.0,Homeowners Community,1,False,False,False,False,True,False,37.3994486,-77.6962996
46,York Avenue South,minneapolis-st. paul,mn,55435.0,Homeowners Community,3,False,False,False,False,True,False,44.8715416,-93.3201778
47,Wasco Ct Road,atlanta,ga,30080.0,Homeowners Community,4,False,False,False,False,True,False,33.8889247,-84.4909358
48,Kensington Drive,cleveland,oh,44145.0,Homeowners Community,1,False,False,False,False,False,False,41.4708772,-81.9071209
49,Augusta National Drive,boston,ma,3110.0,Homeowners Community,2,False,False,False,False,True,False,42.9427583,-71.4763105
50,Deerfield Road,cincinnati,oh,45242.0,Public,2,False,False,False,False,False,False,39.2536991,-84.3518364
51,Copper Ridge Drive,raleigh-durham-chapel hill,nc,27707.0,Homeowners Community,1,False,True,False,False,True,False,35.9176416,-78.9650381
52,North Session Court,memphis,tn,38119.0,Homeowners Community,1,False,False,False,False,True,False,35.0968253,-89.8676813
